_id,window_size,percent_overlap,window_type,scaling,mode,resample_method,target_sr,feature_type,gabor_nscales,gabor_norientations,results[0],results[1],results[2],results[3],results[4],results[5],results[6],results[7],results[8],results[9],results[10]
682aeca53ebd23757841a6b1,512,0,tukey,density,psd,none,22050,gabor,3,4,1,0.8599265125344668,0.7747357485263803,0.7490024616930262,0.6938454617647087,0.656774948701278,0.6243069699890941,0.5810356350565994,0.48921870466610745,0.3515238202706764,0.2586209171271822
682aed26911993481cc423f9,512,10,tukey,density,psd,none,22050,gabor,3,4,1,0.8782931774576855,0.7677492451681613,0.7448033795561205,0.6937703211461879,0.6535394691197811,0.6229268533175267,0.5760066148257581,0.47521194210456635,0.31882741503783246,0.25517605172957725
682aed3d36778bd22d5aedcc,512,0,tukey,density,psd,librosa,22050,gabor,3,4,1,0.8655182459011604,0.8049380691446264,0.7637426640000329,0.6990039914622938,0.5826008085203624,0.514125740883885,0.4784170678912837,0.46313728669322796,0.4478777573446366,0.3182001582912244
682aed3efd005a4fa5046bbd,512,30,tukey,density,psd,none,22050,gabor,3,4,1,0.8595960096011916,0.7545222844897307,0.7200793068003084,0.6778060500881681,0.6363060795574342,0.608091144992594,0.5665406701110796,0.47416897490677873,0.3096719879932197,0.25567866609988515
682aed4a911993481cc423fb,512,10,tukey,density,psd,librosa,22050,gabor,3,4,1,0.8868125960922434,0.8070749725234657,0.7391249100949663,0.7079839997804481,0.6686665920245981,0.6315880753337665,0.564937153593028,0.5072967435481552,0.4748880599753386,0.40435676895529465
682aed4ecc62c295058eb133,512,40,tukey,density,psd,none,22050,gabor,3,4,1,0.8441728502962177,0.7527714784145234,0.7187670483787878,0.6679930724121695,0.6432722965075931,0.6058273095754078,0.5480828416313853,0.4562494914891689,0.30056910819358773,0.2549843313561445
682aed5f36778bd22d5aedce,512,0,tukey,density,psd,polyphase,22050,gabor,3,4,1,0.8655182459011604,0.8049380691446264,0.7637426640000329,0.6990039914622938,0.5826008085203624,0.514125740883885,0.4784170678912837,0.46313728669322796,0.4478777573446366,0.3182001582912244
682aed63fd005a4fa5046bbf,512,30,tukey,density,psd,librosa,22050,gabor,3,4,1,0.8960706581525935,0.8343529037880738,0.8078794005442616,0.780024908759057,0.7423633897869227,0.7122778285076267,0.6748247149051593,0.5640695227096115,0.4763086203427241,0.3493958676147153
682aed6d911993481cc423fd,512,10,tukey,density,psd,polyphase,22050,gabor,3,4,1,0.8868125960922434,0.8070749725234657,0.7391249100949663,0.7079839997804481,0.6686665920245981,0.6315880753337665,0.564937153593028,0.5072967435481552,0.4748880599753386,0.40435676895529465
682aed6dd0bb5dfb5d0a2880,512,60,tukey,density,psd,none,22050,gabor,3,4,1,0.8172908175819941,0.72051983418229,0.7024410717374644,0.6540799134642656,0.6195673217137256,0.5808732191679559,0.5252017552467687,0.4479214298443458,0.29050516654946723,0.25507129209506896
